13.01.2024 21:30	0,0	0,0	VALID	40824139,000
13.01.2024 21:45	0,0	0,0	VALID	40824139,000
13.01.2024 22:00	0,0	0,0	VALID	40824139,000
13.01.2024 22:15	0,0	0,0	VALID	40824139,000
13.01.2024 22:30	0,0	0,0	VALID	40824139,000
13.01.2024 22:45	0,0	0,0	VALID	40824139,000
13.01.2024 23:00	0,0	0,0	VALID	40824139,000
13.01.2024 23:15	0,0	0,0	VALID	40824139,000
13.01.2024 23:30	0,0	0,0	VALID	40824139,000
14.01.2024 09:00	0,0	0,0	VALID	40824147,000
14.01.2024 09:15	0,0	0,0	VALID	40824157,000
14.01.2024 09:30	0,0	0,0	VALID	40824182,000
14.01.2024 09:45	0,0	0,0	VALID	40824217,000
14.01.2024 10:00	0,0	0,0	VALID	40824259,000
14.01.2024 10:15	0,0	0,0	VALID	40824313,000
14.01.2024 10:30	0,0	0,0	VALID	40824346,000
14.01.2024 10:45	0,0	0,0	VALID	40824420,000
14.01.2024 11:00	0,0	0,0	VALID	40824483,000
14.01.2024 11:15	0,0	0,0	VALID	40824558,000
14.01.2024 11:30	0,0	0,0	VALID	40824621,000
14.01.2024 11:45	0,0	0,0	VALID	40824684,000
14.01.2024 12:00	0,0	0,0	VALID	40824726,000
14.01.2024 12:15	0,0	0,0	VALID	40824727,000
14.01.2024 12:30	0,0	0,0	VALID	40824731,000
14.01.2024 12:45	0,0	0,0	VALID	40824742,000
14.01.2024 13:00	0,0	0,0	VALID	40824748,000
14.01.2024 13:15	0,0	0,0	VALID	40824786,000
14.01.2024 13:30	0,0	0,0	VALID	40824810,000
14.01.2024 13:45	0,0	0,0	VALID	40824846,000
14.01.2024 14:00	0,0	0,0	VALID	40824899,000
14.01.2024 14:15	0,0	0,0	VALID	40825017,000
14.01.2024 14:30	0,0	0,0	VALID	40825123,000
14.01.2024 14:45	0,0	0,0	VALID	40825179,000
14.01.2024 15:00	0,0	0,0	VALID	40825249,000
14.01.2024 15:15	0,0	0,0	VALID	40825292,000
14.01.2024 15:30	0,0	0,0	VALID	40825328,000
14.01.2024 15:45	0,0	0,0	VALID	40825337,000
14.01.2024 16:00	0,0	0,0	VALID	40825349,000
14.01.2024 16:15	0,0	0,0	VALID	40825353,000
14.01.2024 16:30	0,0	0,0	VALID	40825354,000
14.01.2024 16:45	0,0	0,0	VALID	40825354,000
14.01.2024 17:00	0,0	0,0	VALID	40825354,000
15.01.2024 10:30	0,0	0,0	VALID	40825431,000
15.01.2024 10:45	0,0	0,0	VALID	40825467,000
15.01.2024 11:00	0,0	0,0	VALID	40825499,000
15.01.2024 11:15	0,0	0,0	VALID	40825500,000
15.01.2024 11:30	0,0	0,0	VALID	40825500,000
15.01.2024 11:45	0,0	0,0	VALID	40825561,000
15.01.2024 12:00	0,0	0,0	VALID	40825918,000
15.01.2024 12:15	0,0	0,0	VALID	40826134,000
15.01.2024 12:30	0,0	0,0	VALID	40826156,000
15.01.2024 12:45	0,0	0,0	VALID	40826169,000
15.01.2024 13:00	0,0	0,0	VALID	40826179,000
15.01.2024 13:15	0,0	0,0	VALID	40826317,000
15.01.2024 13:30	0,0	0,0	VALID	40826401,000
15.01.2024 13:45	0,0	0,0	VALID	40826424,000
15.01.2024 14:00	0,0	0,0	VALID	40826458,000
15.01.2024 14:15	0,0	0,0	VALID	40826480,000
15.01.2024 14:30	0,0	0,0	VALID	40826502,000
15.01.2024 14:45	0,0	0,0	VALID	40826531,000
15.01.2024 15:00	0,0	0,0	VALID	40826541,000
15.01.2024 15:15	0,0	0,0	VALID	40826541,000
15.01.2024 15:30	0,0	0,0	VALID	40826541,000
15.01.2024 15:45	0,0	0,0	VALID	40826541,000
15.01.2024 16:00	0,0	0,0	VALID	40826541,000
15.01.2024 16:15	0,0	0,0	VALID	40826541,000
15.01.2024 16:30	0,0	0,0	VALID	40826541,000
15.01.2024 16:45	0,0	0,0	VALID	40826541,000
15.01.2024 17:00	0,0	0,0	VALID	40826541,000
15.01.2024 17:15	0,0	0,0	VALID	40826541,000
15.01.2024 17:30	0,0	0,0	VALID	40826541,000
15.01.2024 17:45	0,0	0,0	VALID	40826541,000
15.01.2024 18:00	0,0	0,0	VALID	40826541,000
15.01.2024 18:15	0,0	0,0	VALID	40826541,000
15.01.2024 18:30	0,0	0,0	VALID	40826541,000
15.01.2024 18:45	0,0	0,0	VALID	40826541,000
15.01.2024 19:00	0,0	0,0	VALID	40826541,000
15.01.2024 19:15	0,0	0,0	VALID	40826541,000
15.01.2024 19:30	0,0	0,0	VALID	40826541,000
15.01.2024 19:45	0,0	0,0	VALID	40826541,000
15.01.2024 20:00	0,0	0,0	VALID	40826541,000
15.01.2024 20:15	0,0	0,0	VALID	40826541,000
15.01.2024 20:30	0,0	0,0	VALID	40826541,000
15.01.2024 20:45	0,0	0,0	VALID	40826541,000
15.01.2024 21:00	0,0	0,0	VALID	40826541,000
15.01.2024 21:15	0,0	0,0	VALID	40826541,000
15.01.2024 21:30	0,0	0,0	VALID	40826541,000
15.01.2024 21:45	0,0	0,0	VALID	40826541,000
15.01.2024 22:00	0,0	0,0	VALID	40826541,000
